SRC,TGT,TIME
1,2,0
3,4,0
5,2,0
6,7,0
8,7,0
9,10,0
9,11,0
12,13,0
9,14,0
9,15,0
9,16,0
9,17,0
9,14,0
9,18,0
19,18,0
20,21,0
19,22,0
8,23,0
9,24,0
9,22,0
25,21,0
26,7,0
27,28,0
29,25,0
30,31,0
30,31,0
30,31,0
30,31,0
32,33,0
34,35,0
34,33,0
36,37,0
38,39,0
36,40,0
41,15,0
41,11,0
41,14,0
41,13,0
41,39,0
41,42,0
41,43,0
9,40,0
44,45,0
46,22,0
44,46,0
47,46,0
48,46,0
9,49,0
36,50,0
44,51,0
32,52,0
36,32,0
53,54,0
36,55,0
56,57,0
36,32,0
36,58,0
44,59,0
51,58,0
44,14,0
36,56,0
36,60,0
56,61,0
62,50,0
36,60,0
32,59,0
36,60,0
36,50,0
41,63,0
41,64,0
41,65,0
41,56,0
41,61,0
41,43,0
41,52,0
41,58,0
41,59,0
9,64,0
9,58,0
12,66,0
32,58,0
12,66,0
67,32,0
41,32,0
67,32,0
32,68,0
68,56,0
67,32,0
67,32,0
68,61,0
67,32,0
67,8,0
69,67,0
70,51,0
44,50,0
67,32,0
71,58,0
71,72,0
51,58,0
72,71,0
73,74,0
74,73,0
73,74,0
74,73,0
34,58,0
44,75,0
44,75,0
9,58,0
73,74,0
9,76,0
32,77,0
41,76,0
41,78,0
79,48,0
79,63,0
41,80,0
79,58,0
41,81,0
79,70,0
19,82,0
19,72,0
12,32,0
19,64,0
19,58,0
19,58,0
19,58,0
19,52,0
83,59,0
51,70,0
38,58,0
41,58,0
63,79,0
41,63,0
67,59,0
41,63,0
41,58,0
44,84,0
19,85,0
19,72,0
3,84,0
19,8,0
19,58,0
84,86,0
83,58,0
36,60,0
86,48,0
87,63,0
36,88,0
87,8,0
36,89,0
90,56,0
36,90,0
36,84,0
91,92,0
36,93,0
91,92,0
36,90,0
91,92,0
36,60,0
36,84,0
51,58,0
94,84,0
36,84,0
94,84,0
94,84,0
69,84,0
69,95,0
87,8,0
3,84,0
3,84,0
48,86,0
84,8,0
91,81,0
96,88,0
8,84,0
84,8,0
91,47,0
97,98,0
98,97,0
97,98,0
48,97,0
99,8,0
99,8,0
97,48,0
100,101,0
102,97,0
97,48,0
97,102,0
101,100,0
48,58,0
97,48,0
103,72,0
103,58,0
104,59,0
104,59,0
103,72,0
105,56,0
106,72,0
105,61,0
105,8,0
105,33,0
105,107,0
105,81,0
44,102,0
36,105,0
36,104,0
34,108,0
34,109,0
36,110,0
111,112,0
34,58,0
36,113,0
36,109,0
79,109,0
114,105,0
101,115,0
56,90,0
56,105,0
56,68,0
29,58,0
87,58,0
44,116,0
44,117,0
44,117,0
44,79,0
80,58,0
96,32,0
118,100,0
119,120,0
119,120,0
120,119,0
120,75,0
119,120,0
120,119,0
119,58,0
74,73,0
118,120,0
121,108,0
72,106,0
44,92,0
26,122,0
44,79,0
1,123,0
96,124,0
125,126,0
36,104,0
44,79,0
44,79,0
36,124,0
36,127,0
36,128,0
44,79,0
44,129,0
44,116,0
9,120,0
79,58,0
36,109,0
124,109,0
36,109,0
