SRC,TGT,TIME
428,538,0
374,538,0
231,452,0
2,538,0
187,538,0
196,705,0
792,538,0
676,538,0
732,538,0
374,878,0
732,878,0
428,878,0
187,878,0
706,538,0
871,308,0
179,538,0
179,878,0
692,656,0
252,656,0
252,656,0
252,656,0
672,656,0
252,656,0
252,656,0
252,656,0
687,387,0
374,387,0
428,387,0
672,387,0
732,387,0
2,387,0
395,386,0
2,390,0
428,390,0
193,389,0
643,387,0
95,389,0
184,387,0
871,308,0
333,386,0
220,394,0
870,308,0
870,878,0
870,391,0
774,308,0
231,308,0
545,538,0
788,538,0
243,308,0
512,387,0
871,308,0
388,538,0
338,387,0
323,308,0
636,387,0
636,388,0
636,388,0
39,387,0
777,308,0
353,308,0
492,389,0
871,390,0
492,705,0
445,705,0
190,308,0
190,389,0
494,237,0
494,387,0
677,538,0
432,241,0
432,102,0
332,389,0
887,389,0
352,389,0
887,240,0
389,394,0
196,387,0
791,393,0
791,236,0
791,452,0
791,148,0
193,393,0
193,102,0
193,389,0
79,389,0
79,389,0
127,389,0
731,387,0
127,387,0
731,390,0
731,308,0
871,484,0
731,389,0
731,484,0
257,389,0
98,389,0
295,308,0
871,389,0
251,387,0
631,389,0
359,387,0
153,393,0
871,389,0
737,388,0
244,393,0
677,245,0
244,388,0
184,244,0
290,308,0
447,389,0
193,393,0
236,390,0
236,484,0
236,392,0
728,240,0
512,389,0
431,387,0
592,308,0
592,241,0
431,394,0
431,388,0
152,386,0
152,388,0
243,106,0
637,395,0
124,389,0
194,389,0
871,389,0
871,484,0
372,387,0
372,452,0
705,308,0
418,240,0
636,387,0
418,240,0
592,388,0
592,99,0
395,386,0
95,389,0
443,386,0
791,239,0
592,875,0
432,874,0
418,484,0
432,873,0
127,389,0
152,386,0
152,388,0
193,389,0
520,484,0
520,484,0
190,389,0
152,452,0
443,656,0
443,656,0
443,388,0
152,388,0
432,237,0
432,237,0
98,389,0
98,389,0
386,386,0
631,389,0
631,389,0
204,308,0
872,99,0
233,484,0
55,389,0
443,386,0
395,388,0
395,386,0
395,656,0
395,395,0
395,395,0
443,389,0
519,538,0
5,395,0
95,389,0
95,389,0
95,389,0
95,389,0
492,392,0
352,395,0
492,393,0
618,308,0
371,387,0
121,389,0
121,389,0
71,705,0
709,874,0
443,389,0
443,389,0
443,656,0
95,389,0
95,389,0
95,389,0
95,389,0
95,389,0
31,389,0
237,452,0
102,869,0
237,308,0
102,869,0
395,389,0
395,656,0
395,389,0
235,386,0
235,388,0
235,395,0
81,386,0
540,388,0
540,237,0
764,388,0
102,386,0
540,870,0
81,386,0
352,389,0
6,452,0
6,242,0
102,869,0
392,388,0
102,386,0
395,867,0
81,867,0
443,386,0
190,389,0
395,386,0
395,388,0
443,389,0
636,390,0
888,394,0
333,386,0
242,308,0
242,308,0
98,389,0
220,394,0
395,386,0
102,386,0
395,386,0
443,386,0
102,386,0
709,392,0
64,394,0
100,869,0
102,869,0
443,869,0
420,871,0
102,869,0
149,392,0
100,869,0
420,394,0
149,392,0
190,308,0
420,867,0
65,740,0
102,869,0
369,452,0
420,868,0
13,242,0
149,740,0
750,387,0
220,394,0
149,392,0
750,100,0
34,394,0
55,393,0
524,394,0
55,389,0
65,484,0
156,705,0
64,391,0
374,105,0
640,452,0
512,389,0
640,148,0
709,868,0
127,237,0
517,387,0
127,867,0
871,484,0
149,240,0
83,740,0
444,874,0
444,736,0
444,394,0
444,705,0
444,740,0
444,868,0
709,874,0
709,868,0
395,386,0
389,736,0
389,868,0
51,387,0
709,868,0
226,237,0
226,387,0
194,389,0
422,240,0
226,388,0
51,387,0
153,868,0
55,389,0
495,389,0
231,148,0
231,308,0
332,104,0
332,393,0
332,484,0
332,734,0
709,868,0
728,240,0
728,242,0
492,392,0
395,734,0
395,386,0
149,392,0
193,393,0
728,242,0
728,240,0
422,585,0
704,538,0
204,867,0
51,538,0
728,101,0
100,735,0
149,867,0
871,392,0
447,242,0
422,871,0
422,388,0
418,484,0
98,389,0
418,874,0
609,240,0
636,734,0
395,585,0
395,867,0
389,735,0
728,242,0
728,240,0
709,874,0
333,386,0
713,387,0
124,389,0
442,237,0
871,484,0
494,104,0
51,740,0
870,734,0
447,242,0
226,390,0
5,388,0
5,388,0
289,100,0
447,243,0
389,868,0
389,868,0
728,242,0
31,389,0
554,734,0
432,101,0
894,387,0
432,874,0
432,874,0
445,245,0
288,245,0
592,736,0
422,412,0
98,392,0
709,874,0
709,868,0
98,392,0
102,386,0
224,389,0
447,242,0
224,387,0
692,656,0
395,386,0
395,734,0
122,538,0
193,740,0
193,389,0
39,387,0
31,868,0
636,388,0
748,387,0
548,389,0
62,734,0
51,387,0
39,387,0
442,389,0
728,242,0
254,656,0
254,656,0
728,101,0
95,743,0
442,237,0
442,740,0
851,389,0
747,874,0
709,868,0
887,389,0
692,656,0
887,392,0
886,386,0
637,389,0
447,308,0
887,389,0
98,389,0
637,245,0
98,392,0
226,734,0
178,743,0
224,389,0
677,538,0
224,387,0
389,868,0
636,237,0
193,105,0
5,394,0
506,244,0
637,412,0
5,386,0
5,386,0
442,237,0
5,594,0
348,391,0
153,740,0
120,484,0
120,241,0
538,393,0
887,392,0
899,593,0
637,873,0
5,395,0
39,387,0
886,447,0
244,388,0
132,308,0
392,869,0
519,734,0
132,741,0
354,734,0
245,395,0
358,100,0
132,388,0
120,874,0
120,105,0
232,389,0
120,741,0
132,741,0
232,389,0
548,389,0
232,389,0
232,389,0
374,736,0
65,388,0
749,100,0
522,388,0
250,393,0
250,734,0
371,389,0
371,741,0
250,484,0
98,389,0
856,394,0
250,389,0
672,734,0
422,594,0
672,388,0
124,389,0
672,656,0
232,389,0
832,100,0
832,387,0
5,394,0
5,394,0
832,393,0
832,734,0
637,443,0
56,389,0
883,870,0
39,387,0
122,538,0
179,878,0
358,874,0
156,394,0
358,105,0
540,870,0
590,308,0
34,740,0
747,484,0
448,392,0
238,308,0
747,241,0
448,450,0
238,393,0
747,874,0
31,868,0
871,484,0
74,388,0
251,386,0
251,394,0
709,874,0
592,874,0
744,390,0
709,868,0
592,590,0
592,105,0
592,484,0
524,395,0
857,705,0
857,105,0
524,394,0
237,148,0
237,594,0
744,390,0
636,237,0
187,443,0
636,388,0
237,308,0
231,452,0
187,387,0
445,389,0
708,293,0
237,394,0
871,390,0
871,484,0
709,592,0
709,874,0
777,293,0
777,593,0
777,735,0
724,394,0
393,734,0
120,874,0
